frame,time
0,09:00
8990,09:10
17980,09:20
26970,09:30
35960,09:40
44950,09:50
53939,10:00
62929,10:10
71919,10:20
80909,10:30
89899,10:40
98889,10:50
107878,11:00
116868,11:10
125858,11:20
134848,11:30
143838,11:40
152828,11:50
161817,12:00
170807,12:10
179797,12:20
188787,12:30
197777,12:40
206767,12:50
215756,13:00
224746,13:10
233736,13:20
242726,13:30
251716,13:40
260706,13:50
269696,14:00
278686,14:10
287676,14:20
296666,14:30
305656,14:40
314646,14:50
323636,15:00
332626,15:10
341616,15:20
350606,15:30
359596,15:40
368586,15:50
377576,16:00
386566,16:10
395556,16:20
404546,16:30
413536,16:40
422526,16:50
